N	Time(ms)
474	0.08758
475	0.091991
475	0.09187
475	0.086631
475	0.08736
476	0.0828
476	0.07143
476	0.064061
476	0.08272
477	0.09176
477	0.09028
477	0.08466
477	0.090521
478	0.09342
478	0.087881
478	0.08669
478	0.09055
479	0.092631
479	0.08912
479	0.086271
479	0.08937
480	0.122911
480	0.10075
480	0.087361
480	0.09203
481	0.09491
481	0.092
481	0.0888
481	0.089391
482	0.10096
482	0.094991
482	0.08964
482	0.104131
483	0.09761
483	0.093101
483	0.08926
483	0.09301
484	0.096931
484	0.128131
484	0.12449
484	0.129631
485	0.13032
485	0.13045
485	0.123391
485	0.14161
486	0.092231
486	0.08127
486	0.06942
486	0.078491
487	0.10029
487	0.097651
487	0.09175
487	0.098531
488	0.10001
488	0.096811
488	0.09271
488	0.100401
489	0.09916
489	0.096911
489	0.09364
489	0.097251
490	0.10003
490	0.096621
490	0.09372
490	0.097721
491	0.10001
491	0.096501
491	0.09496
491	0.097871
492	0.10132
492	0.100071
492	0.10254
492	0.101911
493	0.10283
493	0.098321
493	0.09447
493	0.09792
494	0.09115
494	0.076881
494	0.07273
494	0.0746
495	0.076511
495	0.07688
495	0.09258
495	0.100141
496	0.10474
496	0.100121
496	0.09783
496	0.102341
497	0.10417
497	0.099801
497	0.0971
497	0.10065
498	0.10396
498	0.10227
498	0.096861
498	0.09902
499	0.105101
499	0.10317
499	0.097371
499	0.10098
500	0.105381
500	0.11843
